company,location,industry,total_laid_off,date,stage,state
Brainbase,Los Angeles,Sales,494,28/07/22,Series A,CA
Change.org,SF Bay Area,Other,403,28/07/22,Series D,CA
Tapas Media,SF Bay Area,Media,70,28/07/22,Acquired,CA
Turntide,SF Bay Area,Energy,222,28/07/22,Unknown,CA
Rivian,Detroit,Transportation,840,27/07/22,Post-IPO,MI
Vox Media,Washington D.C.,Media,39,27/07/22,Series F,VA
Outbrain,New York City,Marketing,38,26/07/22,Post-IPO,NY
Dover,SF Bay Area,Recruiting,23,26/07/22,Series A,CA
Zymergen,SF Bay Area,Other,80,25/07/22,Acquired,CA
Pear Therapeutics ,Boston,Healthcare,25,25/07/22,Post-IPO,MA
 Included Health,SF Bay Area,Healthcare,148,25/07/22,Series E,CA
Workstream,SF Bay Area,HR,45,22/07/22,Series B,CA
Clarify Health,SF Bay Area,Healthcare,15,22/07/22,Series D,CA
Arete,Miami,Security,121,22/07/22,Unknown,FL
Boosted Commerce,Los Angeles,Retail,603,22/07/22,Series B,CA
Owlet,Lehi,Healthcare,148,22/07/22,Post-IPO,UT
People.ai,SF Bay Area,Sales,494,22/07/22,Series D,CA
Wizeline,SF Bay Area,Product,56,22/07/22,Acquired,CA
Callisto Media,SF Bay Area,Media,140,21/07/22,Series D,CA
AppGate,Miami,Security,130,21/07/22,Post-IPO,FL
WHOOP,Boston,Fitness,95,21/07/22,Series F,MA
Rad Power Bikes,Seattle,Transportation,63,21/07/22,Series D,WA
Lunchbox,New York City,Food,60,21/07/22,Series B,NY
RealSelf,Seattle,Healthcare,11,21/07/22,Series B,WA
98point6,Seattle,Healthcare,148,21/07/22,Series E,WA
Catalyst,New York City,Support,125,21/07/22,Series B,NY
InVision,New York City,Product,56,21/07/22,Series F,NY
Mural,SF Bay Area,Product,56,21/07/22,Series C,CA
Smarsh,Portland,Other,403,21/07/22,Private Equity,OR
Flyhomes,Seattle,Real Estate,200,20/07/22,Series C,WA
Varo,SF Bay Area,Finance,75,20/07/22,Series E,CA
BlueStacks,SF Bay Area,Other,60,20/07/22,Series C,CA
Lyft,SF Bay Area,Transportation,60,20/07/22,Post-IPO,CA
Splice,New York City,Media,23,20/07/22,Series D,NY
Arc,SF Bay Area,HR,13,20/07/22,Seed,CA
Invitae,SF Bay Area,Healthcare,1000,19/07/22,Post-IPO,CA
Olive,Columbus,Healthcare,450,19/07/22,Series H,OH
M1,Chicago,Finance,38,19/07/22,Series E,IL
Capsule,New York City,Healthcare,148,19/07/22,Series D,NY
PACT Pharma,SF Bay Area,Healthcare,94,18/07/22,Series C,CA
Gemini,New York City,Crypto,68,18/07/22,Unknown,NY
Lusha,New York City,Marketing,30,18/07/22,Series B,NY
Elemy,SF Bay Area,Healthcare,148,18/07/22,Series B,CA
Freshly,New York City,Food,259,18/07/22,Acquired,NY
Hydrow,Boston,Fitness,473,18/07/22,Series D,MA
TikTok,Los Angeles,Consumer,788,18/07/22,Acquired,CA
Vimeo,New York City,Consumer,788,18/07/22,Post-IPO,NY
Project44,Chicago,Logistics,63,15/07/22,Unknown,IL
Aspire,SF Bay Area,Marketing,23,15/07/22,Series A,CA
StyleSeat,SF Bay Area,Consumer,788,15/07/22,Series C,CA
The Mom Project,Chicago,HR,54,14/07/22,Series C,IL
Unstoppable Domains,SF Bay Area,Crypto,42,14/07/22,Series B,CA
Kiavi,SF Bay Area,Real Estate,39,14/07/22,Series E,CA
Alto Pharmacy,SF Bay Area,Healthcare,148,14/07/22,Series E,CA
OpenSea,New York City,Crypto,176,14/07/22,Series C,NY
Tonal,SF Bay Area,Fitness,262,13/07/22,Series E,CA
Fabric,New York City,Logistics,120,13/07/22,Series C,NY
ChowNow,Los Angeles,Food,100,13/07/22,Series C,CA
100 Thieves,Los Angeles,Consumer,12,13/07/22,Series C,CA
Nuro,SF Bay Area,Transportation,7,13/07/22,Series D,CA
CircleUp,SF Bay Area,Finance,144,13/07/22,Series C,CA
Papa,Miami,Other,403,13/07/22,Series D,FL
Gopuff,Philadelphia,Food,1500,12/07/22,Series H,PA
Hubilo,SF Bay Area,Marketing,45,12/07/22,Series B,CA
Microsoft,Seattle,Other,403,12/07/22,Post-IPO,WA
Spring,SF Bay Area,Retail,603,12/07/22,Unknown,CA
SundaySky,New York City,Marketing,24,11/07/22,Series D,NY
Apeel Sciences,Santa Barbara,Food,259,11/07/22,Series E,CA
Forward,SF Bay Area,Healthcare,148,11/07/22,Series D,CA
Ignite,SF Bay Area,Crypto,176,11/07/22,Series A,CA
Nextbite,Denver,Food,259,09/07/22,Series C,CO
Butler Hospitality,New York City,Food,1000,08/07/22,Series B,NY
Calibrate,New York City,Healthcare,156,08/07/22,Series B,NY
NextRoll,SF Bay Area,Marketing,83,08/07/22,Unknown,CA
Argo AI,Pittsburgh,Transportation,150,07/07/22,Unknown,PA
Next Insurance,SF Bay Area,Finance,150,07/07/22,Series E,CA
Adwerx,Durham,Marketing,40,07/07/22,Unknown,NC
Emotive,Los Angeles,Marketing,30,07/07/22,Series B,CA
Cedar,New York City,Healthcare,148,07/07/22,Series D,NY
Twitter,SF Bay Area,Consumer,788,07/07/22,Post-IPO,CA
Remote,SF Bay Area,HR,100,06/07/22,Series C,CA
SQream,New York City,Data,30,06/07/22,Series B,NY
Motif Foodworks,Boston,Food,259,06/07/22,Series B,MA
Bizzabo,New York City,Marketing,120,05/07/22,Series E,NY
Verbit,New York City,Data,80,05/07/22,Series E,NY
Outschool,SF Bay Area,Education,31,05/07/22,Series D,CA
Transmit Security,Boston,Security,27,05/07/22,Series A,MA
Thimble,New York City,Finance,20,05/07/22,Series A,NY
Celsius,New York City,Crypto,150,03/07/22,Series B,NY
LetsGetChecked,New York City,Healthcare,148,02/07/22,Series D,NY
WanderJaunt,SF Bay Area,Travel,85,01/07/22,Series B,CA
Canoo,Los Angeles,Transportation,58,01/07/22,Post-IPO,CA
Bamboo Health,Louisville,Healthcare,52,01/07/22,Unknown,KY
Teleport,SF Bay Area,Infrastructure,15,01/07/22,Series C,CA
Remesh,New York City,Support,125,01/07/22,Series A,NY
Enjoy,SF Bay Area,Retail,400,30/06/22,Post-IPO,CA
Stash Financial,New York City,Finance,40,30/06/22,Unknown,NY
Nate,New York City,Retail,30,30/06/22,Series A,NY
Snyk,Boston,Security,30,30/06/22,Series F,MA
Stream,Boulder,Product,20,30/06/22,Series B,CO
Abra,SF Bay Area,Crypto,12,30/06/22,Series C,CA
Gavelytics,Los Angeles,Legal,89,30/06/22,Seed,CA
Secfi,SF Bay Area,Finance,144,30/06/22,Series A,CA
Sundae,SF Bay Area,Real Estate,260,30/06/22,Series C,CA
Unity,SF Bay Area,Other,200,29/06/22,Post-IPO,CA
Niantic,SF Bay Area,Consumer,85,29/06/22,Series D,CA
AvantStay,Los Angeles,Travel,80,29/06/22,Unknown,CA
Qumulo,Seattle,Data,80,29/06/22,Series E,WA
Parallel Wireless,Nashua,Infrastructure,60,29/06/22,Unknown,NH
Baton,SF Bay Area,Transportation,16,29/06/22,Series A,CA
Substack,SF Bay Area,Media,13,29/06/22,Series B,CA
CommentSold,Huntsville,Retail,603,29/06/22,Unknown,TX
Degreed,SF Bay Area,Education,69,29/06/22,Series D,CA
HomeLight,SF Bay Area,Real Estate,260,29/06/22,Series D,CA
Modsy,SF Bay Area,Retail,603,29/06/22,Series C,CA
StockX,Detroit,Retail,120,28/06/22,Series E,MI
Sidecar Health,Los Angeles,Healthcare,110,28/06/22,Series C,CA
StockX,Detroit,Retail,80,28/06/22,Series E,MI
AppLovin,SF Bay Area,Marketing,300,27/06/22,Post-IPO,CA
UiPath,New York City,Data,210,27/06/22,Post-IPO,NY
Cue,San Diego,Healthcare,170,27/06/22,Post-IPO,CA
SafeGraph,SF Bay Area,Data,27,27/06/22,Series B,CA
Amount,Chicago,Finance,144,27/06/22,Unknown,IL
Postscript,SF Bay Area,Marketing,43,26/06/22,Series C,CA
Sunday,Atlanta,Finance,90,24/06/22,Series A,GA
Bestow,Dallas,Finance,41,24/06/22,Series C,TX
Ethos Life,SF Bay Area,Finance,40,24/06/22,Series D,CA
Feather,New York City,Retail,603,24/06/22,Unknown,NY
Give Legacy,Boston,Healthcare,148,24/06/22,Series B,MA
Netflix,SF Bay Area,Media,300,23/06/22,Post-IPO,CA
Aura,Boston,Security,70,23/06/22,Series F,MA
Pipl,Spokane,Security,22,23/06/22,Unknown,WA
Vouch,SF Bay Area,Finance,15,23/06/22,Series C,CA
Voyage SMS,Los Angeles,Marketing,8,23/06/22,Unknown,CA
Esper,Seattle,Other,403,23/06/22,Series A,WA
Mark43,New York City,Other,403,23/06/22,Series E,NY
Orchard,New York City,Real Estate,260,23/06/22,Series D,NY
Ro,New York City,Healthcare,148,23/06/22,Unknown,NY
MasterClass,SF Bay Area,Education,120,22/06/22,Series E,CA
IronNet,Washington D.C.,Security,90,22/06/22,Post-IPO,VA
Bungalow,SF Bay Area,Real Estate,70,22/06/22,Series C,CA
IronNet,Washington D.C.,Security,55,22/06/22,Post-IPO,VA
Sprinklr,New York City,Support,50,22/06/22,Post-IPO,NY
Superpedestrian,Boston,Transportation,35,22/06/22,Series C,MA
Balto,St. Louis,Sales,30,22/06/22,Series B,MO
TaskUs,Los Angeles,Support,52,21/06/22,Post-IPO,CA
Community,Los Angeles,Marketing,40,21/06/22,Unknown,CA
Sourcegraph,SF Bay Area,Product,24,21/06/22,Series D,CA
Tray.io,SF Bay Area,Data,119,21/06/22,Series C,CA
SummerBio,SF Bay Area,Healthcare,101,20/06/22,Unknown,CA
Buzzer,New York City,Media,70,20/06/22,Unknown,NY
Socure,Reno,Finance,69,17/06/22,Series E,NV
Finite State,Columbus,Security,16,17/06/22,Series B,OH
JOKR,New York City,Food,50,16/06/22,Series B,NY
Zumper,SF Bay Area,Real Estate,45,16/06/22,Series D,CA
Circulo Health,Columbus,Healthcare,148,16/06/22,Series A,OH
Weee!,SF Bay Area,Food,150,15/06/22,Series E,CA
Notarize,Boston,Legal,110,15/06/22,Series D,MA
Tonkean,SF Bay Area,Other,23,15/06/22,Series B,CA
JetClosing,Seattle,Real Estate,260,15/06/22,Series B,WA
Coinbase,SF Bay Area,Crypto,1100,14/06/22,Post-IPO,CA
Redfin,Seattle,Real Estate,470,14/06/22,Post-IPO,WA
Compass,New York City,Real Estate,450,14/06/22,Post-IPO,NY
TIFIN,Boulder,Crypto,24,14/06/22,Series D,CO
BlockFi,New York City,Crypto,250,13/06/22,Series E,NY
Wave Sports and Entertainment,Los Angeles,Media,56,13/06/22,Series B,CA
Studio,SF Bay Area,Education,33,13/06/22,Series B,CA
Automox,Boulder,Infrastructure,280,13/06/22,Series C,CO
Desktop Metal,Boston,Other,403,13/06/22,Post-IPO,MA
Albert,Los Angeles,Finance,20,10/06/22,Series C,CA
Keepe,Seattle,Real Estate,260,10/06/22,Unknown,WA
Liongard,Houston,Infrastructure,280,10/06/22,Series B,TX
OneTrust,Atlanta,Security,950,09/06/22,Series C,GA
Stitch Fix,SF Bay Area,Retail,330,09/06/22,Post-IPO,CA
Convoy,Seattle,Logistics,90,09/06/22,Series E,WA
Hologram,Chicago,Infrastructure,80,09/06/22,Series B,IL
The Grommet,Boston,Retail,40,09/06/22,Acquired,MA
Preply,Boston,Education,26,09/06/22,Series C,MA
Jellysmack,New York City,Media,70,09/06/22,Series C,NY
Starship,SF Bay Area,Transportation,358,09/06/22,Series B,CA
Sonder,SF Bay Area,Travel,250,08/06/22,Post-IPO,CA
Truepill,SF Bay Area,Healthcare,150,08/06/22,Series D,CA
Bird,Los Angeles,Transportation,138,07/06/22,Post-IPO,CA
ID.me,Washington D.C.,Security,130,07/06/22,Unknown,VA
KiwiCo,SF Bay Area,Retail,40,07/06/22,Unknown,CA
Bond,SF Bay Area,Finance,144,07/06/22,Series A,CA
CyberCube,SF Bay Area,Finance,144,07/06/22,Series B,CA
Dutchie,Bend,Other,50,06/06/22,Series D,OR
Deep Instinct,New York City,Security,121,06/06/22,Series D,NY
Sendoso,SF Bay Area,Marketing,83,06/06/22,Series C,CA
Superhuman,SF Bay Area,Consumer,23,03/06/22,Series C,CA
Food52,New York City,Food,21,03/06/22,Acquired,NY
Clubhouse,SF Bay Area,Consumer,788,03/06/22,Series C,CA
Tesla,Austin,Transportation,358,03/06/22,Post-IPO,TX
Carbon Health,SF Bay Area,Healthcare,250,02/06/22,Series D,CA
PolicyGenius,New York City,Finance,170,02/06/22,Series E,NY
Gemini,New York City,Crypto,100,02/06/22,Unknown,NY
Stord,Atlanta,Logistics,59,02/06/22,Series D,GA
Gather,SF Bay Area,Consumer,30,02/06/22,Series B,CA
Shef,SF Bay Area,Food,29,02/06/22,Series A,CA
IRL,SF Bay Area,Consumer,25,02/06/22,Series C,CA
Esme Learning,Boston,Education,69,02/06/22,Unknown,MA
Cybereason,Boston,Security,100,01/06/22,Series F,MA
Loom,SF Bay Area,Product,34,01/06/22,Series C,CA
Skillshare,New York City,Education,31,01/06/22,Unknown,NY
Eaze,SF Bay Area,Consumer,25,01/06/22,Series D,CA
Side,SF Bay Area,Real Estate,260,01/06/22,Unknown,CA
Replicated,Los Angeles,Infrastructure,50,31/05/22,Series C,CA
Tomo,Stamford,Finance,44,31/05/22,Series A,CT
BookClub,Salt Lake City,Education,12,31/05/22,Series A,UT
Cerebral,SF Bay Area,Healthcare,148,31/05/22,Series C,CA
Tempus Ex,SF Bay Area,Data,119,30/05/22,Unknown,CA
Akerna,Denver,Logistics,131,27/05/22,Unknown,CO
Terminus,Atlanta,Marketing,83,27/05/22,Series C,GA
Terminus,Atlanta,Marketing,83,27/05/22,Unknown,GA
Lacework,SF Bay Area,Security,300,25/05/22,Series D,CA
Bolt,SF Bay Area,Finance,240,25/05/22,Series E,CA
PeerStreet,Los Angeles,Finance,75,25/05/22,Series C,CA
Coterie Insurance,Cincinnati,Finance,30,25/05/22,Series B,OH
The Zebra,Austin,Finance,40,24/05/22,Series D,TX
PayPal,SF Bay Area,Finance,83,23/05/22,Post-IPO,CA
ClickUp,San Diego,Other,60,23/05/22,Series C,CA
Airtime,New York City,Consumer,30,23/05/22,Series B,NY
Latch,New York City,Security,130,20/05/22,Post-IPO,NY
Outside,Boulder,Media,87,20/05/22,Series B,CO
Skillz,SF Bay Area,Consumer,70,20/05/22,Post-IPO,CA
Netflix,SF Bay Area,Media,150,17/05/22,Post-IPO,CA
Picsart,Miami,Consumer,90,17/05/22,Series C,FL
Zulily,Seattle,Retail,603,16/05/22,Acquired,WA
Thirty Madison,New York City,Healthcare,24,14/05/22,Acquired,NY
CommonBond,New York City,Finance,22,13/05/22,Series D,NY
Subspace,Los Angeles,Infrastructure,280,13/05/22,Series B,CA
Zwift,Los Angeles,Fitness,150,12/05/22,Series C,CA
Section4,New York City,Education,32,12/05/22,Series A,NY
Tripwire,Portland,Security,121,12/05/22,Acquired,OR
DataRobot,Boston,Data,70,11/05/22,Series G,MA
Carvana,Phoenix,Transportation,2500,10/05/22,Post-IPO,AZ
Doma,SF Bay Area,Finance,310,10/05/22,Post-IPO,CA
Latch,New York City,Security,30,10/05/22,Post-IPO,NY
Vroom,New York City,Transportation,270,09/05/22,Post-IPO,NY
Reef,Miami,Transportation,750,06/05/22,Unknown,FL
divvyDOSE,Davenport,Healthcare,62,06/05/22,Acquired,FL
Mural,SF Bay Area,Product,90,05/05/22,Series C,CA
On Deck,SF Bay Area,Education,72,05/05/22,Series A,CA
Colossus,Boston,Energy,97,04/05/22,Series A,MA
Cameo,Chicago,Consumer,87,04/05/22,Unknown,IL
Mainstreet,SF Bay Area,Finance,45,04/05/22,Series A,CA
Ideoclick,Seattle,Retail,40,04/05/22,Series A,WA
Vise,New York City,Finance,25,04/05/22,Series C,NY
Thrasio,Boston,Retail,603,02/05/22,Unknown,MA
Noom,New York City,Healthcare,495,29/04/22,Series F,NY
Domestika,SF Bay Area,Education,150,28/04/22,Series D,CA
Netflix,SF Bay Area,Media,25,28/04/22,Post-IPO,CA
Wahoo Fitness,Atlanta,Fitness,50,27/04/22,Unknown,GA
Robinhood,SF Bay Area,Finance,340,26/04/22,Post-IPO,CA
Clyde,New York City,Marketing,22,25/04/22,Series B,NY
Lemonade,New York City,Finance,52,20/04/22,Post-IPO,NY
Blend,SF Bay Area,Finance,200,19/04/22,Post-IPO,CA
Better.com,New York City,Real Estate,260,19/04/22,Unknown,NY
Automox,Boulder,Infrastructure,280,18/04/22,Series C,CO
Humble,SF Bay Area,Media,10,15/04/22,Acquired,CA
Halcyon Health,New York City,Healthcare,148,15/04/22,Unknown,NY
Ahead,SF Bay Area,Healthcare,44,14/04/22,Unknown,CA
Truepill,SF Bay Area,Healthcare,148,14/04/22,Series D,CA
Rad Power Bikes,Seattle,Transportation,100,12/04/22,Series D,WA
Food52,New York City,Food,20,08/04/22,Acquired,NY
Workrise,Austin,Energy,450,05/04/22,Series E,TX
Fast,SF Bay Area,Finance,144,05/04/22,Series B,CA
Gopuff,Philadelphia,Food,450,29/03/22,Series H,PA
Grove Collaborative,SF Bay Area,Retail,603,19/03/22,Series E,CA
Curology,SF Bay Area,Healthcare,150,16/03/22,Series D,CA
Knock,New York City,Real Estate,115,15/03/22,Unknown,NY
Talis Biomedical,SF Bay Area,Healthcare,148,15/03/22,Post-IPO,CA
Sezzle,Minneapolis,Finance,144,10/03/22,Post-IPO,MN
Better.com,New York City,Real Estate,3000,08/03/22,Unknown,NY
Adaptive Biotechnologies,Seattle,Healthcare,100,08/03/22,Post-IPO,WA
Hyperscience,New York City,Data,100,03/03/22,Series E,NY
Wish,SF Bay Area,Retail,190,01/03/22,Post-IPO,CA
iFit,Logan,Fitness,473,25/02/22,Private Equity,UT
Virgin Hyperloop,Los Angeles,Transportation,111,21/02/22,Unknown,CA
Homie,Salt Lake City,Real Estate,119,14/02/22,Series B,UT
Daily Harvest,New York City,Food,60,10/02/22,Series D,NY
Peloton,New York City,Fitness,2800,08/02/22,Post-IPO,NY
Defined.ai,Seattle,Data,119,07/02/22,Series B,WA
Rhino,New York City,Real Estate,57,03/02/22,Unknown,NY
Gopuff,Philadelphia,Food,100,26/01/22,Series H,PA
Glossier,New York City,Consumer,80,26/01/22,Series E,NY
Root Insurance,Columbus,Finance,330,20/01/22,Post-IPO,OH
Spin,SF Bay Area,Transportation,358,08/01/22,Acquired,CA
iFit,Logan,Fitness,473,08/12/21,Private Equity,UT
Better.com,New York City,Real Estate,900,01/12/21,Unknown,NY
BitTitan,Seattle,Data,70,18/11/21,Acquired,WA
Zillow,Seattle,Real Estate,2000,02/11/21,Post-IPO,WA
InVision,New York City,Product,22,05/10/21,Unknown,NY
Ozy Media,SF Bay Area,Media,70,01/10/21,Series C,CA
Zymergen,SF Bay Area,Other,120,23/09/21,Post-IPO,CA
Imperfect Foods,SF Bay Area,Food,259,22/09/21,Series D,CA
Genius,New York City,Consumer,788,15/09/21,Acquired,NY
Treehouse,Portland,Education,41,14/09/21,Series B,OR
Casper,New York City,Retail,603,14/09/21,Post-IPO,NY
Tanium,Seattle,Security,30,30/08/21,Unknown,WA
Flockjay,SF Bay Area,Education,37,24/08/21,Series A,CA
Katerra,SF Bay Area,Construction,2434,01/06/21,Unknown,CA
Lambda School,SF Bay Area,Education,65,29/04/21,Series C,CA
Madefire,SF Bay Area,Media,70,29/04/21,Series B,CA
Patreon,SF Bay Area,Media,36,26/04/21,Series D,CA
New Relic,SF Bay Area,Infrastructure,160,06/04/21,Post-IPO,CA
Medium,SF Bay Area,Media,70,24/03/21,Series C,CA
HuffPo,New York City,Media,47,09/03/21,Acquired,NY
Subspace,Los Angeles,Infrastructure,280,03/03/21,Series B,CA
Clumio,SF Bay Area,Data,119,01/03/21,Series C,CA
DJI,SF Bay Area,Consumer,788,24/02/21,Unknown,CA
ThredUp,Chicago,Retail,243,09/02/21,Series F,IL
Indigo,Boston,Other,80,09/02/21,Series F,MA
Limelight,New York City,Recruiting,13,04/02/21,Unknown,NY
Shutterfly,SF Bay Area,Retail,800,25/01/21,Acquired,CA
Postmates,SF Bay Area,Food,180,23/01/21,Acquired,CA
Instacart,SF Bay Area,Food,1877,21/01/21,Unknown,CA
Dropbox,SF Bay Area,Other,315,13/01/21,Post-IPO,CA
Aura Financial,SF Bay Area,Finance,144,11/01/21,Unknown,CA
Simple,Portland,Finance,144,07/01/21,Acquired,OR
Pulse Secure,SF Bay Area,Security,78,23/12/20,Acquired,CA
Actifio,Boston,Data,54,16/12/20,Acquired,MA
Zinier,SF Bay Area,HR,146,25/11/20,Series C,CA
Domio,New York City,Real Estate,260,18/11/20,Series B,NY
Bridge Connector,Nashville,Healthcare,154,17/11/20,Series B,TN
Tidepool,SF Bay Area,Healthcare,18,17/11/20,Unknown,CA
Igenous,Seattle,Data,119,17/11/20,Series C,WA
Scoop,SF Bay Area,Transportation,358,17/11/20,Series C,CA
Worksmith,Austin,Retail,30,09/11/20,Unknown,TX
Rubica,Seattle,Security,121,05/11/20,Series A,WA
Bossa Nova,SF Bay Area,Retail,603,02/11/20,Unknown,CA
LivePerson,New York City,Support,30,01/11/20,Post-IPO,NY
Remedy,Austin,Healthcare,82,29/10/20,Series A,TX
Knotel,New York City,Real Estate,20,29/10/20,Series C,NY
Cheetah,SF Bay Area,Food,259,25/10/20,Series B,CA
CodeCombat,SF Bay Area,Education,8,23/10/20,Series A,CA
Quibi,Los Angeles,Media,70,21/10/20,Private Equity,CA
Chef,Seattle,Infrastructure,280,08/10/20,Acquired,WA
Alto Pharmacy,SF Bay Area,Healthcare,47,29/09/20,Series D,CA
TheWrap,Los Angeles,Media,70,29/09/20,Series B,CA
Air,New York City,Marketing,83,16/09/20,Series A,NY
NS8,Las Vegas,Data,240,11/09/20,Series A,NV
HubHaus,SF Bay Area,Real Estate,260,11/09/20,Series A,CA
Waze,SF Bay Area,Transportation,30,09/09/20,Acquired,CA
Ouster,SF Bay Area,Transportation,358,08/09/20,Series B,CA
Swing Education,SF Bay Area,Education,69,05/09/20,Series B,CA
Akerna,Denver,Logistics,131,02/09/20,Post-IPO,CO
Big Fish Games,Seattle,Media,250,01/09/20,Acquired,WA
Salesforce,SF Bay Area,Sales,1000,26/08/20,Post-IPO,CA
kununu,Boston,Recruiting,127,26/08/20,Acquired,MA
Spaces,Los Angeles,Media,70,24/08/20,Acquired,CA
StreamSets,SF Bay Area,Data,119,20/08/20,Series C,CA
Lumina Networks,SF Bay Area,Infrastructure,280,18/08/20,Series A,CA
InVision,New York City,Product,56,14/08/20,Series F,NY
HopSkipDrive,Los Angeles,Transportation,358,12/08/20,Unknown,CA
Mozilla,SF Bay Area,Consumer,250,11/08/20,Unknown,CA
Glossier,New York City,Retail,150,07/08/20,Series D,NY
Vesta,Atlanta,Sales,56,05/08/20,Unknown,GA
Buy.com / Rakuten,SF Bay Area,Retail,87,30/07/20,Acquired,CA
tZero,New York City,Finance,144,30/07/20,Acquired,NY
Pared,SF Bay Area,Food,259,29/07/20,Unknown,CA
Procore,Los Angeles,Construction,180,28/07/20,Unknown,CA
Checkr,SF Bay Area,HR,64,23/07/20,Series D,CA
LinkedIn,SF Bay Area,Recruiting,960,21/07/20,Acquired,CA
Lighter Capital,Seattle,Finance,22,20/07/20,Series B,WA
Optimizely,SF Bay Area,Marketing,60,15/07/20,Series D,CA
Vox Media,Washington D.C.,Media,70,14/07/20,Series F,VA
Yelp,SF Bay Area,Consumer,63,13/07/20,Post-IPO,CA
Funding Circle,SF Bay Area,Finance,85,08/07/20,Post-IPO,CA
OnDeck,New York City,Finance,144,08/07/20,Post-IPO,NY
The Wing,New York City,Real Estate,56,01/07/20,Series C,NY
Sharethrough,SF Bay Area,Marketing,18,01/07/20,Series D,CA
Kongregate,SF Bay Area,Media,12,01/07/20,Series C,CA
Havenly,Denver,Consumer,5,01/07/20,Series C,CO
G2,Chicago,Marketing,17,30/06/20,Series C,IL
Hired,SF Bay Area,Recruiting,127,30/06/20,Series D,CA
Katerra,SF Bay Area,Construction,400,29/06/20,Series E,CA
Bossa Nova,SF Bay Area,Retail,61,29/06/20,Unknown,CA
New Relic,Portland,Infrastructure,20,29/06/20,Post-IPO,OR
Engine eCommerce,Fayetteville,Retail,603,28/06/20,Unknown,NY
Byton,SF Bay Area,Transportation,358,27/06/20,Series C,CA
Sprinklr,New York City,Support,125,25/06/20,Series F,NY
GoDaddy,Austin,Marketing,451,24/06/20,Post-IPO,TX
Sonos,New York City,Consumer,174,24/06/20,Post-IPO,NY
OYO,Dallas,Travel,265,24/06/20,Series F,TX
ScaleFactor,Austin,Finance,90,23/06/20,Series C,TX
Dark,SF Bay Area,Product,6,23/06/20,Seed,CA
